Concepto,Unidad,2022,2023,2024,Descripción
Unidades producidas,unidades,0,0,0,"Empresa de servicios digitales"
Unidades vendidas,unidades,0,0,0,"Empresa de servicios digitales"
Capacidad instalada,unidades,0,0,0,"No aplica para servicios"
Utilización capacidad,%,0,0,0,"No aplica para servicios"
Empleados totales,personas,35,45,52,"Crecimiento de plantilla cualificada"
Empleados de producción,personas,25,32,37,"Desarrolladores y técnicos"
Empleados de administración,personas,10,13,15,"Gestión, ventas y administración"
Horas trabajadas,horas,72800,93600,108160,"Horas productivas anuales"
Productividad por empleado,€/empleado,51429,62222,67308,"Ingresos por empleado"
Coste unitario de producción,€/unidad,0,0,0,"No aplica para servicios"
Coste de materia prima por unidad,€/unidad,0,0,0,"No aplica para servicios"
Coste de mano de obra directa por unidad,€/unidad,0,0,0,"No aplica para servicios"
Precio de venta medio,€/unidad,0,0,0,"No aplica para servicios"
Margen unitario,€/unidad,0,0,0,"No aplica para servicios"
Tasa de defectos,%,2.1,1.8,1.5,"Errores en entregas de proyectos"
Devoluciones,%,0.5,0.3,0.2,"Proyectos rechazados por clientes"
Satisfacción del cliente,puntos,8.2,8.5,8.8,"Puntuación sobre 10"
Días de inventario,días,0,0,0,"No tiene inventario físico"
Rotación de inventario,veces,0,0,0,"No aplica"
Tiempo de entrega promedio,días,45,38,32,"Tiempo promedio de proyecto"
Nivel de servicio,%,94.5,96.2,97.1,"Proyectos entregados a tiempo"
Consumo energético total,kWh,12000,15600,18200,"Consumo oficinas y servidores"
Consumo por unidad producida,kWh/unidad,0,0,0,"No aplica para servicios"
Coste energético,€,2400,3120,3640,"Facturación eléctrica anual"
Superficie instalaciones,m2,400,550,650,"Oficinas en Madrid"
Inversión en I+D,€,90000,140000,175000,"Desarrollo de productos propios"
Número de clientes activos,unidades,28,42,58,"Clientes con facturación anual"
Ticket medio por cliente,€,64286,66667,60345,"Facturación promedio por cliente"
