Concepto,2022,2023,2024,Notas
Cifra de negocios,1800000,2800000,3500000,"Crecimiento del negocio SaaS y servicios de consultoría"
Variación de existencias de productos terminados,0,0,0,"Empresa de servicios sin stock físico"
Trabajos realizados por la empresa para su activo,25000,35000,45000,"Desarrollo de plataforma propia capitalizado"
Aprovisionamientos (compras),-180000,-280000,-350000,"Licencias de software y servicios cloud"
Otros ingresos de explotación,15000,25000,30000,"Subvenciones de I+D y formación"
Gastos de personal,-900000,-1400000,-1750000,"Plantilla cualificada en crecimiento"
Otros gastos de explotación,-360000,-560000,-700000,"Marketing, oficinas, servicios profesionales"
Amortización del inmovilizado,-120000,-180000,-220000,"Equipos informáticos y software"
Imputación de subvenciones,8000,12000,15000,"Subvenciones de digitalización imputadas"
Excesos de provisiones,0,5000,8000,"Reversión de provisiones no utilizadas"
Deterioro y resultado por enajenaciones del inmovilizado,-2000,-3000,-1000,"Renovación de equipos obsoletos"
Ingresos financieros,1200,2000,3500,"Intereses de cuentas remuneradas"
Gastos financieros,-18000,-28000,-32000,"Intereses de préstamos y líneas de crédito"
Variación de valor razonable en instrumentos financieros,0,0,0,"No tiene inversiones financieras significativas"
Diferencias de cambio,500,800,1200,"Pequeñas operaciones en USD y GBP"
Deterioro y resultado por enajenaciones de instrumentos financieros,0,0,0,"No tiene cartera de inversiones"
Impuesto sobre beneficios,-72675,-108400,-131175,"Tipo efectivo aproximado 25%"
